Ref.* (p.ref);Label* (p.label);Type* (p.fk_product_type);For sale* (p.tosell);For purchase* (p.tobuy);Description (p.description);Public URL (p.url);Customs|Commodity|HS code (p.customcode);Country code (p.fk_country);Accounting code (sale) (p.accountancy_code_sell);Accounting code (sale intra-Community) (p.accountancy_code_sell_intra);Accounting code (sale export) (p.accountancy_code_sell_export);Accounting code (purchase) (p.accountancy_code_buy);Accounting code (purchase intra-community) (p.accountancy_code_buy_intra);Accounting code (purchase import) (p.accountancy_code_buy_export);Note (public) (p.note_public);Note (private) (p.note);Weight (p.weight);Weight unit (p.weight_units);Length (p.length);Length unit (p.length_units);Width (p.width);Width unit (p.width_units);Height (p.height);Height unit (p.height_units);Surface (p.surface);Surface unit (p.surface_units);Volume (p.volume);Volume unit (p.volume_units);Duration (p.duration);Nature of product (raw/manufactured) (p.finished);Selling price (excl. tax) (p.price);Min. selling price (p.price_min);Selling price (inc. tax) (p.price_ttc);Minimum Selling price (inc. tax) (p.price_min_ttc);PriceBaseType (p.price_base_type);Tax Rate (p.tva_tx);Creation date (p.datec);CostPrice (p.cost_price);Default warehouse (p.fk_default_warehouse);ManageLotSerial (p.tobatch);Stock limit for alert (p.seuil_stock_alerte);Weighted average price (p.pmp);Desired Stock (p.desiredstock)
PS00000001;Quinoa Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000002;Graines de Chia Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000003;Huile de Coco Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000004;Beurre d'Amande Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000005;Thé Vert Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000006;Miel Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000007;Farine de Lin Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000008;Chips de Kale Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000009;Poudre de Protéine Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000010;Riz Basmati Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000011;Baies de Goji Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000012;Noix de Cajou Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000013;Yaourt Grec Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000014;Pommes Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000015;Épinards Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000016;Pois Chiches Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000017;Noix de Coco Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000018;Brocoli Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000019;Huile d'Olive Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PS00000020;Carottes Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000001;Fraises Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000002;Amandes Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000003;Oranges Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000004;Purée de Potiron Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000005;Baies de Maqui Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000006;Graines de Courge Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000007;Pâtes de Blé Entier Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000008;Tomates Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000009;Houmous Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000010;Mangues Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000011;Pépites de Cacao Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000012;Poivrons Rouges Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000013;Quinoa Rouge Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000014;Grenade Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000015;Framboises Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000016;Flocons d'Avoine Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000017;Chou Frisé Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000018;Purée de Noix de Cajou Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000019;Cerises Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF00000020;Haricots Verts Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000001;Artichauts Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000002;Noix de Grenoble Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000003;Avocats Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000004;Pépites de Chocolat Noir Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000005;Patates Douces Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000006;Poisson Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000007;Pain de Seigle Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000008;Lentilles Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000009;Thon Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000010;Raisins Secs Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000011;Feta Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000012;Basilic Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000013;Épeautre Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000014;Crème de Coco Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000015;Patates Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000016;Saumon Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000017;Tofu Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000018;Poireaux Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000019;Thé Oolong Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC00000020;Cerfeuil Bio;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
